disposition,code_2026_27,code_2027_28,code_moved,similarity,text_2026_27,text_2027_28,cluster_2027_28,era_2027_28
new,,GC.01,,,,Describe the purpose and functions of government.,Foundations of Constitutional Government,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.02,,,,"Compare and contrast different forms of government, such as monarchy, oligarchy, democracy, and republic.",Foundations of Constitutional Government,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.03,,,,"Analyze the influence of various thinkers on the formation of U.S. government, such as William Blackstone, John Locke, Charles-Louis Montesquieu, and Thomas Hobbes.",Foundations of Constitutional Government,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.04,,,,"Analyze the influence of past governments on the formation of the United States, such as Greek democracy, Roman republic, the Magna Carta, and the Mayflower Compact.",Foundations of Constitutional Government,GC | UNITED STATES GOVERNMENT AND CIVICS
unchanged,GC.02,GC.05,yes,1.00,Examine the Declaration of Independence and American grievances against British rule.,Examine the Declaration of Independence and American grievances against British rule.,Foundations of Constitutional Government,GC | UNITED STATES GOVERNMENT AND CIVICS
unchanged,GC.03,GC.06,yes,1.00,Identify the strengths and weaknesses of the Articles of Confederation.,Identify the strengths and weaknesses of the Articles of Confederation.,Foundations of Constitutional Government,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.04,GC.07,yes,0.55,"Discuss the Constitutional Convention of 1787, including the Great Compromise and the ensuing debate over ratification between the Federalists and Anti-Federalists.","Discuss the Constitutional Convention of 1787, including major compromises (e.g., Great Compromise, Three-Fifths Compromise, importation of enslaved people, and the electoral college).",Foundations of Constitutional Government,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.08,,,,"Identify key debates surrounding the ratification of the constitution between the Federalists (e.g., Federalist Papers) and Anti-federalists (e.g., Brutus Papers).",Foundations of Constitutional Government,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.05,GC.09,yes,0.92,Describe the purposes and functions of government as outlined in the Preamble of the Constitution.,Describe the purposes of government as outlined in the Preamble of the Constitution.,Foundations of Constitutional Government,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.06,GC.10,yes,0.85,"Describe limited government within the Constitution, including: Checks and balances; Civilian control of the military; Federalism; Judicial review; Popular sovereignty; Rule of law; Separation of powers","Describe principles of limited government in the U.S. Constitution, including: • Checks and balances • Federalism • Judicial Review • Popular sovereignty • Rule of law • Separation of powers",Foundations of Constitutional Government,GC | UNITED STATES GOVERNMENT AND CIVICS
unchanged,GC.07,GC.11,yes,1.00,Describe the structure of the Constitution and the process to amend it.,Describe the structure of the Constitution and the process to amend it.,Foundations of Constitutional Government,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.10,GC.12,yes,0.67,"Analyze Article I and the 17th Amendment of the Constitution as they relate to the legislative branch, including: eligibility for office, roles, length of terms, and election to office for representatives and senators, respectively.","Analyze Article I and the 17th Amendment of the Constitution as they relate to the legislative branch, including: • Election to office for representatives and senators • Eligibility for office • Length of terms • Roles and responsibilities",The Legislative Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.11,GC.13,yes,0.93,"Describe the census and its role in redistricting and reapportionment, including the role of Baker v. Carr.","Describe the census and its role in redistricting and reapportionment, including the role of Baker v. Carr and Shaw v. Reno.",The Legislative Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.12,GC.14,yes,0.92,"Identify leadership positions of the legislative branch, including: Majority and minority leaders; President pro tempore; Role of the vice president; Speaker of the House","Identify leadership positions in the legislative branch and describe their roles, including: • Majority and minority leaders • President pro tempore • Role of the vice president • Speaker of the House",The Legislative Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.15,,,,Describe the legislative process from the introduction of a bill to a presidential action.,The Legislative Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.30,GC.16,yes,0.69,Identify the current governor of Tennessee and the representatives in the General Assembly (for a student's respective district).,Identify Tennessee’s U.S. Senators and the representative for the student’s respective district.,The Legislative Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.14,GC.17,yes,0.60,Identify the Tennessee representatives and senators to U.S. Congress.,"Identify the enumerated, implied, and concurrent powers of the U.S. Congress.",The Legislative Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.18,,,,"Explain the process and significance of congressional elections (e.g., mid-term elections).",The Legislative Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.19,,,,Identify the arguments in Federalist Paper #70 that addresses the establishment of the executive office.,The Executive Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.20,,,,"Analyze Article II of the Constitution as it relates to the executive branch, including: • Length of Term (i.e., 22nd Amendment) • Eligibility for office • Oath of office • Succession (i.e., 25th Amendment) • Impeachment",The Executive Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.21,,,,"Describe the various powers and roles of the presidency, including: • Commander-in-Chief • Treaty negotiation • Appointments • Executive orders • Pardons and clemency",The Executive Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
revised,GC.17,GC.22,yes,0.55,"Identify major departments of the executive branch, including: Defense; Education; Justice; State; Treasury","Identify and describe the functions of executive branch departments and agencies (e.g., bureaucracies) in the United States, including: • Defense • State • Treasury • Justice",The Executive Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.23,,,,Trace the sequence of a presidential election from initial candidacy through inauguration.,The Executive Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
unchanged,GC.18,GC.24,yes,1.00,"Explain the Electoral College system, and compare and contrast arguments for and against it.","Explain the Electoral College system, and compare and contrast arguments for and against it.",The Executive Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
new,,GC.25,,,,Identify the arguments in Federalist Paper #78 that addresses the establishment of the federal courts system.,The Judicial Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
unchanged,GC.19,GC.26,yes,1.00,"Analyze Article III of the Constitution as it relates to judicial power, including the length of terms and the jurisdiction of the U.S. Supreme Court.","Analyze Article III of the Constitution as it relates to judicial power, including the length of terms and the jurisdiction of the U.S. Supreme Court.",The Judicial Branch,GC | UNITED STATES GOVERNMENT AND CIVICS
