disposition,code_2026_27,code_2027_28,code_moved,similarity,text_2026_27,text_2027_28,cluster_2027_28,era_2027_28
revised,6.01,6.01,no,0.80,"Identify the meaning of time designations and abbreviations used by historians, including: BC / BCE; AD / CE; Circa (c. or ca), decades, centuries","Interpret a timeline using time designations and abbreviations, including: • BC/BCE • AD/CE • Circa (i.e., c. or ca), decades, centuries","Foundations of Human Civilization: c. 10,000-3500 BC",6 | SIXTH GRADE SOCIAL STUDIES
revised,6.02,6.02,no,0.71,"Describe the characteristics of the nomadic hunter-gatherer societies, including their use of: Basic hunting weapons; Fire; Shelter; Tools","Describe the characteristics of Paleolithic societies, including: • Basic hunting weapons • Fire • Nomadic hunter-gatherer lifestyles • Shelter • Tools","Foundations of Human Civilization: c. 10,000-3500 BC",6 | SIXTH GRADE SOCIAL STUDIES
new,,6.03,,,,"Explain the impact of the Neolithic Revolution, including: • Agriculture • Domestication of plants and animals • Emergence of permanent settlements • Food surpluses • Increased Barter economy • Labor specialization • New sources of clothing and shelter","Foundations of Human Civilization: c. 10,000-3500 BC",6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.04,6.04,no,1.00,Identify and explain the importance of the following key characteristics of civilizations: Culture; Government; Religion; Social structure; Stable food supply; Technology; Writing,Identify and explain the importance of the following key characteristics of civilizations: • Culture • Government • Religion • Social structure • Stable food supply • Technology • Writing,"Foundations of Human Civilization: c. 10,000-3500 BC",6 | SIXTH GRADE SOCIAL STUDIES
revised,6.05,6.05,no,0.78,"Identify and locate geographical features of ancient Mesopotamia, including: Black Sea; Persian Gulf; Euphrates River; Tigris River; Mediterranean Sea; Zagros Mountains","Identify and locate on a map geographical features of ancient Mesopotamia, including: • Euphrates River • Mediterranean Sea • Persian Gulf • Tigris River • Zagros Mountains",Ancient Mesopotamia: c. 3500-1700 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.06,6.06,no,0.76,Explain how geographic and climatic features led to the region being known as the Fertile Crescent.,"Analyze how geographic (e.g., rivers, mountains) and climatic features (e.g., heavy rains, flooding) led to the region being known as the Fertile Crescent.",Ancient Mesopotamia: c. 3500-1700 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.07,6.07,no,0.88,"Explain how irrigation, silt, metallurgy, production of tools, use of animals, slave labor, and inventions such as the wheel, sail, and plow led to advancements in agriculture.","Explain how irrigation, metallurgy, use of animals, and inventions such as the wheel, sail, and plow led to advancements in agriculture.",Ancient Mesopotamia: c. 3500-1700 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.08,6.08,no,0.90,"Analyze how advancements in agriculture in Sumer led to economic growth, expansion of trade and transportation, and the emergence of independent city-states.","Analyze how advancements in agriculture led to economic growth, expansion of trade and transportation, and the emergence of independent city-states (e.g., Ur of the Chaldees).",Ancient Mesopotamia: c. 3500-1700 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.09,6.09,no,0.89,"Explain the basic concepts of monarchy and empire, and identify Mesopotamia as the regional location of the world's first empire.","Explain the basic concepts of monarchy and empire, and identify Mesopotamia as the world’s first empire.",Ancient Mesopotamia: c. 3500-1700 BC,6 | SIXTH GRADE SOCIAL STUDIES
new,,6.10,,,,Describe the social hierarchy of ancient Mesopotamian society.,Ancient Mesopotamia: c. 3500-1700 BC,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.10,6.11,yes,0.95,"Explain the concept of polytheism and its presence in Mesopotamia, with respect to beliefs about the relationship of deities to the natural world and their importance in everyday life.","Explain the concept of polytheism in Mesopotamia, with respect to beliefs about the relationship of deities to the natural world and their importance in everyday life.",Ancient Mesopotamia: c. 3500-1700 BC,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.11,6.12,yes,1.00,"Identify important achievements of the Mesopotamian civilization, including cuneiform, clay tablets, and ziggurats, and identify the Epic of Gilgamesh as the oldest written epic.","Identify important achievements of the Mesopotamian civilization, including cuneiform, clay tablets, and ziggurats, and identify the Epic of Gilgamesh as the oldest written epic.",Ancient Mesopotamia: c. 3500-1700 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.12,6.13,yes,0.71,"Analyze the impact of the introduction of written law in the Code of Hammurabi, and explain its basic principles of justice.","Analyze the impact of the Code of Hammurabi, including the introduction of written law and basic principles of justice.",Ancient Mesopotamia: c. 3500-1700 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.13,6.14,yes,0.81,"Identify and locate geographical features of ancient Egypt, including: Mediterranean Sea; Red Sea; Nile Delta; The regions of Upper and Lower Egypt; Nile River; The Sahara","Identify and locate on a map geographical and political features of ancient Egypt, including: • Mediterranean Sea • Nile Delta • Nile River • Nubia • Red Sea • The regions of Upper and Lower Egypt • The Sahara",Ancient Egypt: c. 3000-700 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.14,6.15,yes,0.93,"Explain how agricultural practices impacted life and economic growth in ancient Egypt, including the use of irrigation and development of a calendar.","Explain how agricultural practices impacted life in ancient Egypt, including the use of irrigation and development of a calendar.",Ancient Egypt: c. 3000-700 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.15,6.16,yes,0.73,"Explain the structure of ancient Egyptian society, including: Relationships between groups of people; How social classes were organized by occupation; Positions of pharaohs as god/kings; Role of slaves","Describe the social structure of ancient Egyptian society, including: • How social classes were organized by occupation • Role of enslaved people • Position of pharaoh as a god-king",Ancient Egypt: c. 3000-700 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.16,6.17,yes,0.83,"Explain the polytheistic religion of ancient Egypt, with respect to beliefs about the afterlife, the reasons for mummification, and the use of pyramids.","Explain the concept of polytheistic religion in ancient Egypt, with respect to the beliefs about the afterlife and reasons for mummification.",Ancient Egypt: c. 3000-700 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.17,6.18,yes,0.70,"Analyze the impact of key figures from ancient Egypt, including: Growth under the leadership of Queen Hatshepsut and her economic policies; Ramses the Great's military conquests leading to growth of the kingdom; Significance of the discovery of Tutankhamun's tomb on the understanding of ancient Egypt","Analyze the impact of key figures from ancient Egypt, including: • Growth under the leadership of Queen Hatshepsut and her economic policies • Significance of the discovery of Tutankhamun’s tomb on the understanding of ancient Egypt • Ramses the Great’s military conquests leading to growth of the kingdom",Ancient Egypt: c. 3000-700 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.18,6.19,yes,0.81,"Analyze the achievements of ancient Egyptian civilization, including: hieroglyphics, papyrus, and the pyramids and Sphinx at Giza.","Analyze the achievements of ancient Egypt, including hieroglyphics, papyrus, and structures at Giza (i.e., the pyramids and Sphinx).",Ancient Egypt: c. 3000-700 BC,6 | SIXTH GRADE SOCIAL STUDIES
new,,6.20,,,,"Examine the relationship between ancient Egypt and Nubia, including cultural diffusion through trade and conflict.",Ancient Egypt: c. 3000-700 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.20,6.21,yes,0.78,"Identify and locate geographical features of ancient Israel, including: Dead Sea; Mediterranean Sea; Jerusalem; Red Sea; Jordan River; Sinai Peninsula","Identify and locate on a map geographical and political features of ancient Israel, including: • Dead Sea • Jerusalem • Jordan River • Mediterranean Sea • Red Sea • Sinai Peninsula",Ancient Israel: c. 2000-500 BC,6 | SIXTH GRADE SOCIAL STUDIES
revised,6.21,6.22,yes,0.91,"Describe the development of the ancient Israelites, and explain the reasons for their movements from Mesopotamia to Canaan (later called Israel), from Canaan to Egypt, and from Egypt back to Canaan.","Analyze the development of the ancient Israelites, and explain the reasons for their movements from Mesopotamia (i.e., Ur of the Chaldees) to Canaan (later called Israel), from Canaan to Egypt, and from Egypt back to Canaan.",Ancient Israel: c. 2000-500 BC,6 | SIXTH GRADE SOCIAL STUDIES
unchanged,6.22,6.23,yes,0.96,"Describe the origins and central features of Judaism: Key Person(s): Abraham, Moses; Sacred Texts: The Tanakh (i.e., Hebrew Bible); Basic Beliefs: monotheism, Ten Commandments, emphasis on individual worth and personal responsibility","Describe the origins and central features of Judaism: • Key Person(s): Abraham, Moses • Sacred Texts: The Tanakh (i.e., Hebrew Bible, including the Torah) • Basic Beliefs: monotheism, Ten Commandments, emphasis on individual worth and personal responsibility",Ancient Israel: c. 2000-500 BC,6 | SIXTH GRADE SOCIAL STUDIES
