course,code,meaning_2026_27,meaning_2027_28
us-history-geography,US.01,Explain how the Homestead Act and the Transcontinental Railroad impacted the settlement of the West.,"Summarize the major events of Reconstruction, and explain the impact of the Compromise of 1877, including the founding of the Ku Klux Klan and lynching."
us-history-geography,US.02,"Examine federal policies toward American Indians, including: the movement to reservations, assimilation, boarding schools, and the Dawes Act.","Identify the rights provided by the 14th and 15th amendments, and analyze the efforts to resist them, including Jim Crow laws, disenfranchisement methods, and the Plessy v. Ferguson decision. (T.C.A. § 49 -6-1006)"
us-history-geography,US.03,"Explain the impact of the Compromise of 1877, including: Jim Crow laws, lynching, disenfranchisement methods, the efforts of Benjamin “Pap” Singleton and the Exodusters, and the Plessy v. Ferguson decision. (T.C.A. § 49-6-1006)","Summarize the efforts of Benjamin ""Pap"" Singleton and the Exodusters."
us-history-geography,US.04,"Analyze the causes and consequences of Gilded Age politics and economics as well as the significance of the rise of political machines, major scandals, civil service reform, and the economic difference between farmers, wage earners, and industrial capitalists, including the following:
• Boss Tweed
• Thomas Nast
• Credit Mobilier
• Spoils system and President James A. Garfield’s assassination
• Pendleton Act
• Interstate Commerce Act",Explain how the Homestead Act and the Transcontinental Railroad impacted the settlement and physical landscape of the West.
us-history-geography,US.05,"Describe the changes in American life that resulted from the inventions and innovations of business leaders and entrepreneurs of the period, including the significance of:
• Alexander Graham Bell
• Henry Bessemer
• Andrew Carnegie
• Thomas Edison
• J.P. Morgan
• John D. Rockefeller
• Nikola Tesla
• Cornelius Vanderbilt
• Madam C.J. Walker","Examine federal policies toward American Indians, including the movement to reservations, assimilation, boarding schools, and the Dawes Act."
us-history-geography,US.06,"Locate the following major industrial centers, and describe how industrialization influenced the movement of people from rural to urban areas:
• Boston
• Chicago
• New York City
• Pittsburgh
• San Francisco","Explain the characteristics and impact of the Granger movement and populism, emphasizing the conflicts between farmers and the railroads (i.e., credit mobilier and Interstate Commerce Act)."
us-history-geography,US.07,"Describe the differences between “old” and “new” immigrants, analyze the assimilation process for “new” immigrants, and determine the impacts of increased migration on American society, including:
• Angel Island
• Ellis Island
• Push and pull factors
• Ethnic clusters
• Jane Addams
• Competition for jobs
• Rise of nativism
• Jacob Riis
• Chinese Exclusion Act and Gentleman’s Agreement","Describe the differences between “old” and “new” immigrants, including: • Urbanization • Angel Island • Ellis Island • Push-pull factors • Ethnic clusters"
us-history-geography,US.08,Explain the concepts of social Darwinism and the Social Gospel.,"Analyze the causes and consequences of Gilded Age politics and economics as well as the significance of the rise of political machines, major scandals, civil service reform, and the economic difference between wage earners and industrial capitalists, including the following: • Spoils System • Boss Tweed • President Garfield’s Assassination • Thomas Nast • Pendleton Act"
us-history-geography,US.09,Compare and contrast the ideas and philosophies of Booker T. Washington and W.E.B. Du Bois. (T.C.A. § 49-6-1006),"Describe the changes in American life that resulted from the inventions and innovations of business leaders and entrepreneurs of the period, and evaluate the business practices of: • Alexander Graham Bell • Henry Bessemer • Andrew Carnegie • Thomas Edison • Lewis Latimer • J.P. Morgan • John D. Rockefeller • Nikola Tesla • Cornelius Vanderbilt • Madam C.J. Walker"
us-history-geography,US.10,"Explain the characteristics and impact of the Granger movement and populism, emphasizing the conflicts between farmers and the railroads.","Determine the impacts of increased immigration on American society, including: • Competition for jobs • Rise of Nativism • Chinese Exclusion Act and Gentleman’s Agreement"
us-history-geography,US.11,"Explain the rise of the labor movement, union tactics (e.g., strikes), the role of leaders (e.g., Eugene Debs and Samuel Gompers), the unjust use of prison labor (e.g., Coal Creek labor saga), and the responses of management and government.",Compare and contrast the concepts of social Darwinism and the Social Gospel.
us-history-geography,US.14,"Explain the roles played by muckrakers and progressive idealists, including:
• Robert M. La Follette, Sr.
• President Theodore Roosevelt
• Upton Sinclair
• Lincoln Steffens
• Ida Tarbell","Explain the rise of the labor movement, union tactics (e.g., strikes), the role of leaders (e.g., Eugene Debs and Samuel Gompers), and the responses of management and government."
us-history-geography,US.15,"Analyze the goals and achievements of the Progressive movement, including:
• Adoption of the initiative, referendum, and recall
• Adoption of the primary system
• 16th Amendment
• 17th Amendment
• 18th Amendment",Compare and contrast the ideas and philosophies of Booker T. Washington and W.E.B. Du Bois. (T.C.A. § 49-6-1006)
