disposition,code_2026_27,code_2027_28,code_moved,similarity,text_2026_27,text_2027_28,cluster_2027_28,era_2027_28
new,,W.01,,,,"Describe the types of kingdoms, leaders, and government systems in major world regions during the 18th century.",Age of Revolution (1750-1850),Age of Revolution (1750-1850)
new,,W.02,,,,"Compare major contributions of philosophers and scientists during the Age of Enlightenment and Scientific Revolution, such as: • Sir Francis Bacon • Cesare Beccaria • Galileo Galilei • Johannes Kepler • John Locke • Charles-Louis de Montesquieu • Isaac Newton • Jean-Jacques Rosseau • Mary Wollstonecraft",Age of Revolution (1750-1850),Age of Revolution (1750-1850)
new,,W.03,,,,"Identify the major causes (e.g., social, political, economic) of the French Revolution, and trace the evolution of France's government, including Enlightenment political thought, storming of the Bastille, execution of Louis XVI, and the reign of terror.",Age of Revolution (1750-1850),Age of Revolution (1750-1850)
unchanged,W.07,W.04,yes,0.96,"Analyze the geographic, political, and social factors that contributed to the rise and fall of Napoleon Bonaparte's empire.","Explain the geographic, political, and social factors that contributed to the rise and fall of Napoleon Bonaparte’s empire.",Age of Revolution (1750-1850),Age of Revolution (1750-1850)
new,,W.05,,,,Describe social and economic tensions within colonized regions in Latin America.,Age of Revolution (1750-1850),Age of Revolution (1750-1850)
new,,W.06,,,,"Explain the global effects of Latin American revolutions, including those in Haiti, Bolivia, Argentina, and Mexico.",Age of Revolution (1750-1850),Age of Revolution (1750-1850)
unchanged,W.10,W.07,yes,1.00,"Explain how the Agricultural Revolution, mechanization, and the ""enclosure movement"" led to rapid population growth, rural to urban migration, and the growth of major cities in Europe and North America.","Explain how the Agricultural Revolution, mechanization, and the “enclosure movement” led to rapid population growth, rural to urban migration, and the growth of major cities in Europe and North America.",The Industrial Revolution (1750s-1900s),The Industrial Revolution (1750s-1900s)
unchanged,W.11,W.08,yes,1.00,"Explain the geographic and economic reasons why the Industrial Revolution began in England, including: natural resources, entrepreneurship, labor, and access to capital.","Explain the geographic and economic reasons why the Industrial Revolution began in England, including natural resources, entrepreneurship, labor, and access to capital.",The Industrial Revolution (1750s-1900s),The Industrial Revolution (1750s-1900s)
new,,W.09,,,,Explain why the diffusion of the Industrial Revolution primarily spread within the Western world.,The Industrial Revolution (1750s-1900s),The Industrial Revolution (1750s-1900s)
unchanged,W.13,W.10,yes,0.99,"Describe the geographic scale, trade routes, and conditions of the forced migration of Africans to the Western Hemisphere, including connections between slave labor and the growth of industrial economies.","Describe the geographic scale, trade routes, and conditions of the forced migration of Africans to the Western Hemisphere, including connections between enslaved labor and the growth of industrial economies.",The Industrial Revolution (1750s-1900s),The Industrial Revolution (1750s-1900s)
unchanged,W.14,W.11,yes,1.00,"Explain how scientific and technological innovations (e.g., the steam engine, new textile technology, steel processing, medical advances, electricity, and new methods of transportation) led to massive social, economic, cultural, and demographic changes.","Explain how scientific and technological innovations (e.g., the steam engine, new textile technology, steel processing, medical advances, electricity, and new methods of transportation) led to massive social, economic, cultural, and demographic changes.",The Industrial Revolution (1750s-1900s),The Industrial Revolution (1750s-1900s)
new,,W.12,,,,"Analyze the consequences of industrialism in Europe in terms of: • Social benefits (e.g., increases in productivity and life expectancy) • Social costs (e.g., harsh working and living conditions, pollution, child labor, and income inequality) • Attempts to address these costs (e.g., political reform, urban planning, philanthropy, labor unions, education reform, and public health and sanitation)",The Industrial Revolution (1750s-1900s),The Industrial Revolution (1750s-1900s)
revised,W.16,W.13,yes,0.91,"Compare and contrast the rise of the following economic theories as a result of industrialization: capitalism, communism, and socialism.","Compare and contrast the rise of economic theories as a result of industrialization, including capitalism, communism, and socialism.",The Industrial Revolution (1750s-1900s),The Industrial Revolution (1750s-1900s)
revised,W.17,W.14,yes,0.89,"Define nationalism, and explain how nationalism, cultural geography, and physical geography contributed to the unification of nations, such as Germany and Italy.","Define nationalism, and explain how national identity and political geography contributed to the unification of nations such as Germany and Italy.",Nationalism and Imperialism (1850-1914),Nationalism and Imperialism (1850-1914)
unchanged,W.18,W.15,yes,1.00,Describe the rise of anti-Semitism in Europe during this time period.,Describe the rise of anti-Semitism in Europe during this time period.,Nationalism and Imperialism (1850-1914),Nationalism and Imperialism (1850-1914)
revised,W.19,W.16,yes,0.94,"Define imperialism, and analyze reasons for 19th century imperialism, including: competition between empires, cultural justifications, and the search for natural resources and new markets in response to rapid industrialization.","Define and analyze reasons for imperialism, including competition between empires, cultural justifications, and the search for natural resources and new markets in response to rapid industrialization.",Nationalism and Imperialism (1850-1914),Nationalism and Imperialism (1850-1914)
new,,W.17,,,,"Distinguish the differences between colonies, protectorates, spheres of influence, and economic imperialism.",Nationalism and Imperialism (1850-1914),Nationalism and Imperialism (1850-1914)
new,,W.18,,,,Describe the cultural and political structures throughout the regions of the African continent.,Nationalism and Imperialism (1850-1914),Nationalism and Imperialism (1850-1914)
revised,W.20,W.19,yes,0.74,"Describe the natural resources and geographic features of Africa, their role in attracting European economic interests, and their impact on global trade.",Describe the natural resources and geographic features throughout the regions of the African continent and their impacts on global trade.,Nationalism and Imperialism (1850-1914),Nationalism and Imperialism (1850-1914)
unchanged,W.21,W.20,yes,1.00,"Analyze the outcomes of the Berlin Conference and the impact of superimposed boundaries on African indigenous populations, and compare the geographic progression of imperialistic claims on the African continent by European empires.","Analyze the outcomes of the Berlin Conference and the impact of superimposed boundaries on African indigenous populations, and compare the geographic progression of imperialistic claims on the African continent by European empires.",Nationalism and Imperialism (1850-1914),Nationalism and Imperialism (1850-1914)
new,,W.21,,,,"Describe the various strategies and outcomes of African resistance to European imperialism (e.g., Ethiopia, Zulu Wars, Ashanti Wars).",Nationalism and Imperialism (1850-1914),Nationalism and Imperialism (1850-1914)
new,,W.22,,,,"Describe cultural, political, and economic structures throughout the regions of the subcontinent of India.",Nationalism and Imperialism (1850-1914),Nationalism and Imperialism (1850-1914)
new,,W.23,,,,"Explain why India was important to the British empire, including role of the Suez Canal.",Nationalism and Imperialism (1850-1914),Nationalism and Imperialism (1850-1914)
new,,W.24,,,,"Describe cultural, political, and economic structures throughout regions of China.",Nationalism and Imperialism (1850-1914),Nationalism and Imperialism (1850-1914)
revised,W.24,W.25,yes,0.70,Explain the growing influence of western powers on China from the Opium Wars through the Boxer Rebellion.,"Explain why China was important to western powers, including the Opium Wars and the Boxer Rebellion.",Nationalism and Imperialism (1850-1914),Nationalism and Imperialism (1850-1914)
revised,W.26,W.26,no,0.56,"Analyze Japan's abandonment of isolationism, its embrace of technological and political changes, and its consequent rise as an imperial power in the late 19th century.","Describe the cultural, economic, and political context of Japan, including the role of isolationism and its rise as an imperial power in the late 19th century.",Nationalism and Imperialism (1850-1914),Nationalism and Imperialism (1850-1914)
