disposition,code_2026_27,code_2027_28,code_moved,similarity,text_2026_27,text_2027_28,cluster_2027_28,era_2027_28
new,,US.01,,,,"Summarize the major events of Reconstruction, and explain the impact of the Compromise of 1877, including the founding of the Ku Klux Klan and lynching.",Reconstruction,The Rise of Industrialization (1877-1900)
new,,US.02,,,,"Identify the rights provided by the 14th and 15th amendments, and analyze the efforts to resist them, including Jim Crow laws, disenfranchisement methods, and the Plessy v. Ferguson decision. (T.C.A. § 49 -6-1006)",Reconstruction,The Rise of Industrialization (1877-1900)
new,,US.03,,,,"Summarize the efforts of Benjamin ""Pap"" Singleton and the Exodusters.",Reconstruction,The Rise of Industrialization (1877-1900)
revised,US.01,US.04,yes,0.90,Explain how the Homestead Act and the Transcontinental Railroad impacted the settlement of the West.,Explain how the Homestead Act and the Transcontinental Railroad impacted the settlement and physical landscape of the West.,Westward Expansion,The Rise of Industrialization (1877-1900)
unchanged,US.02,US.05,yes,1.00,"Examine federal policies toward American Indians, including: the movement to reservations, assimilation, boarding schools, and the Dawes Act.","Examine federal policies toward American Indians, including the movement to reservations, assimilation, boarding schools, and the Dawes Act.",Westward Expansion,The Rise of Industrialization (1877-1900)
revised,US.10,US.06,yes,0.85,"Explain the characteristics and impact of the Granger movement and populism, emphasizing the conflicts between farmers and the railroads.","Explain the characteristics and impact of the Granger movement and populism, emphasizing the conflicts between farmers and the railroads (i.e., credit mobilier and Interstate Commerce Act).",Westward Expansion,The Rise of Industrialization (1877-1900)
new,,US.07,,,,"Describe the differences between “old” and “new” immigrants, including: • Urbanization • Angel Island • Ellis Island • Push-pull factors • Ethnic clusters",Gilded Age,The Rise of Industrialization (1877-1900)
revised,US.04,US.08,yes,0.73,"Analyze the causes and consequences of Gilded Age politics and economics as well as the significance of the rise of political machines, major scandals, civil service reform, and the economic difference between farmers, wage earners, and industrial capitalists, including the following:
• Boss Tweed
• Thomas Nast
• Credit Mobilier
• Spoils system and President James A. Garfield’s assassination
• Pendleton Act
• Interstate Commerce Act","Analyze the causes and consequences of Gilded Age politics and economics as well as the significance of the rise of political machines, major scandals, civil service reform, and the economic difference between wage earners and industrial capitalists, including the following: • Spoils System • Boss Tweed • President Garfield’s Assassination • Thomas Nast • Pendleton Act",Gilded Age,The Rise of Industrialization (1877-1900)
new,,US.09,,,,"Describe the changes in American life that resulted from the inventions and innovations of business leaders and entrepreneurs of the period, and evaluate the business practices of: • Alexander Graham Bell • Henry Bessemer • Andrew Carnegie • Thomas Edison • Lewis Latimer • J.P. Morgan • John D. Rockefeller • Nikola Tesla • Cornelius Vanderbilt • Madam C.J. Walker",Gilded Age,The Rise of Industrialization (1877-1900)
revised,US.07,US.10,yes,0.61,"Describe the differences between “old” and “new” immigrants, analyze the assimilation process for “new” immigrants, and determine the impacts of increased migration on American society, including:
• Angel Island
• Ellis Island
• Push and pull factors
• Ethnic clusters
• Jane Addams
• Competition for jobs
• Rise of nativism
• Jacob Riis
• Chinese Exclusion Act and Gentleman’s Agreement","Determine the impacts of increased immigration on American society, including: • Competition for jobs • Rise of Nativism • Chinese Exclusion Act and Gentleman’s Agreement",Gilded Age,The Rise of Industrialization (1877-1900)
revised,US.08,US.11,yes,0.85,Explain the concepts of social Darwinism and the Social Gospel.,Compare and contrast the concepts of social Darwinism and the Social Gospel.,The Progressive Era (1890-1920),The Progressive Era (1890-1920)
revised,US.12,US.12,no,0.89,"Describe the rise of trusts and monopolies, their impact on consumers and workers, and the government’s response, including the Sherman Antitrust Act of 1890 and the Clayton Antitrust Act of 1914.","Describe the rise of trusts and monopolies, their impact on consumers and workers, and the government’s response, including the Sherman Antitrust Act of 1890.",The Progressive Era (1890-1920),The Progressive Era (1890-1920)
revised,US.13,US.13,no,0.88,"Describe working conditions in industries during this era, including the use of labor by women and children.","Describe working conditions in industries during this era, including the use of women and children as a labor source.",The Progressive Era (1890-1920),The Progressive Era (1890-1920)
revised,US.11,US.14,yes,0.85,"Explain the rise of the labor movement, union tactics (e.g., strikes), the role of leaders (e.g., Eugene Debs and Samuel Gompers), the unjust use of prison labor (e.g., Coal Creek labor saga), and the responses of management and government.","Explain the rise of the labor movement, union tactics (e.g., strikes), the role of leaders (e.g., Eugene Debs and Samuel Gompers), and the responses of management and government.",The Progressive Era (1890-1920),The Progressive Era (1890-1920)
unchanged,US.09,US.15,yes,1.00,Compare and contrast the ideas and philosophies of Booker T. Washington and W.E.B. Du Bois. (T.C.A. § 49-6-1006),Compare and contrast the ideas and philosophies of Booker T. Washington and W.E.B. Du Bois. (T.C.A. § 49-6-1006),The Progressive Era (1890-1920),The Progressive Era (1890-1920)
revised,US.14,US.16,yes,0.75,"Explain the roles played by muckrakers and progressive idealists, including:
• Robert M. La Follette, Sr.
• President Theodore Roosevelt
• Upton Sinclair
• Lincoln Steffens
• Ida Tarbell","Explain the roles played by muckrakers and progressive idealists, including: • Jane Addams • Jacob Riis • Upton Sinclair • Lincoln Steffens • Ida Tarbell • Ida B. Wells-Barnett",The Progressive Era (1890-1920),The Progressive Era (1890-1920)
revised,US.16,US.17,yes,0.79,"Analyze the significant progressive achievements during President Theodore Roosevelt’s administration, including:
• Square Deal
• “Trust-busting”
• Pure Food and Drug Act
• Meat Inspection Act
• Support for conservation","Analyze the significant progressive achievements during Theodore Roosevelt’s administration, including: • Square Deal • Meat Inspection Act • “Trust-busting” • Support for conservation • Pure Food and Drug Act",The Progressive Era (1890-1920),The Progressive Era (1890-1920)
unchanged,US.15,US.18,yes,0.96,"Analyze the goals and achievements of the Progressive movement, including:
• Adoption of the initiative, referendum, and recall
• Adoption of the primary system
• 16th Amendment
• 17th Amendment
• 18th Amendment","Analyze the goals and achievements of the Progressive movement, including: • Adoption of the initiative, referendum, and recall • Adoption of the primary system • 16th Amendment • 17th Amendment",The Progressive Era (1890-1920),The Progressive Era (1890-1920)
revised,US.17,US.19,yes,0.67,"Analyze the significant progressive achievements during President Woodrow Wilson’s administration, including: the New Freedom, the Federal Reserve Act, and the creation of the National Park Service.","Analyze the significant progressive achievements during President Woodrow Wilson’s administration, including: • New Freedom • Federal Reserve Act • Creation of the National Park Service • Clayton Antitrust Act of 1914",The Progressive Era (1890-1920),The Progressive Era (1890-1920)
revised,US.18,US.20,yes,0.78,"Describe the movement to achieve suffrage for women, including: the significance of leaders such as Carrie Chapman Catt, Anne Dallas Dudley, and Alice Paul, the activities of suffragettes, the passage of the 19th Amendment, and the role of Tennessee as the “Perfect 36.”","Describe the movement to achieve suffrage for women, including the significance of: • Leaders such as Carrie Chapman Catt, Anne Dallas Dudley, and Alice Paul • Activities of suffragists • Passage of the 19th Amendment, including the role of Tennessee • Legacy of Susan B. Anthony",The Progressive Era (1890-1920),The Progressive Era (1890-1920)
revised,US.19,US.21,yes,0.89,"Assess the causes of American imperialism in the late 19th and early 20th centuries, including: the desire for raw materials and new markets, the desire to spread American democratic and moral ideals, and yellow journalism.","Assess the causes of American imperialism in the late 19th and early 20th centuries, including the desire for raw materials and new markets, American nationalism, and yellow journalism.",Imperialism and World War I (1890-1920),Imperialism and World War I (1890-1920)
revised,US.20,US.22,yes,0.87,Compare and contrast the arguments of interventionists and non-interventionists of the period.,Compare and contrast the arguments of imperialists and non-imperialists of the period.,Imperialism and World War I (1890-1920),Imperialism and World War I (1890-1920)
