disposition,code_2026_27,code_2027_28,code_moved,similarity,text_2026_27,text_2027_28,cluster_2027_28,era_2027_28
new,,TN.01,,,,"Describe the geographic features that make up the three grand divisions of Tennessee (i.e., East, Middle, and West).","Indigenous Peoples of Tennessee (c. 10,000-1,000 BC)","Indigenous Peoples of Tennessee (c. 10,000-1,000 BC)"
unchanged,TN.01,TN.02,yes,1.00,Describe changes in life in the Tennessee region from the late ice age through the Archaic period.,Describe changes in life in the Tennessee region from the late ice age through the Archaic period.,"Indigenous Peoples of Tennessee (c. 10,000-1,000 BC)","Indigenous Peoples of Tennessee (c. 10,000-1,000 BC)"
unchanged,TN.02,TN.03,yes,1.00,Compare and contrast features of life in the Tennessee region during the Woodland and Mississippian periods.,Compare and contrast features of life in the Tennessee region during the Woodland and Mississippian periods.,"Indigenous Peoples of Tennessee (c. 10,000-1,000 BC)","Indigenous Peoples of Tennessee (c. 10,000-1,000 BC)"
unchanged,TN.03,TN.04,yes,0.96,"Analyze the customs and traditions of American Indians located in the Tennessee region prior to European contact, including: Cherokee; Chickasaw; Creek; Iroquois; Shawnee","Analyze the customs and traditions of American Indians present in the Tennessee region prior to European contact, including: • Cherokee • Chickasaw • Creek • Iroquois • Shawnee","Indigenous Peoples of Tennessee (c. 10,000-1,000 BC)","Indigenous Peoples of Tennessee (c. 10,000-1,000 BC)"
unchanged,TN.04,TN.05,yes,1.00,"Describe the impact of European exploration in the Tennessee region, including the significance of Christopher Columbus, Hernando de Soto, and Juan Pardo.","Describe the impact of European exploration in the Tennessee region, including the significance of Christopher Columbus, Hernando de Soto, and Juan Pardo.","Indigenous Peoples of Tennessee (c. 10,000-1,000 BC)","Indigenous Peoples of Tennessee (c. 10,000-1,000 BC)"
unchanged,TN.05,TN.06,yes,1.00,Describe the influx of British and French settlers and fur traders in the Tennessee region and their impact on American Indian tribes.,Describe the influx of British and French settlers and fur traders in the Tennessee region and their impact on American Indian tribes.,The Struggle for Tennessee’s Frontier (1600s-1700s),The Struggle for Tennessee’s Frontier (1600s-1700s)
unchanged,TN.06,TN.07,yes,0.97,"Explain the contest between the British, the French, and American Indians for land in the Tennessee region prior to the French and Indian War.","Explain the conflict between the British, the French, and American Indians for land in the Tennessee region prior to the French and Indian War.",The Struggle for Tennessee’s Frontier (1600s-1700s),The Struggle for Tennessee’s Frontier (1600s-1700s)
unchanged,TN.07,TN.08,yes,1.00,"Describe the effects of migration into the Tennessee region, including the development of the Watauga and Cumberland Settlements.","Describe the effects of migration into the Tennessee region, including the development of the Watauga and Cumberland Settlements.",The Struggle for Tennessee’s Frontier (1600s-1700s),The Struggle for Tennessee’s Frontier (1600s-1700s)
unchanged,TN.08,TN.09,yes,1.00,"Identify episodes of fighting that occurred in the Tennessee region during the American Revolution (e.g., Battle of Kings Mountain) and the effects of American victory on the area.","Identify episodes of fighting that occurred in the Tennessee region during the American Revolution (e.g., Battle of Kings Mountain) and the effects of American victory on the area.",The Struggle for Tennessee’s Frontier (1600s-1700s),The Struggle for Tennessee’s Frontier (1600s-1700s)
unchanged,TN.09,TN.10,yes,1.00,Identify reasons for the foundation and failure of the independent state of Franklin in 1784.,Identify reasons for the foundation and failure of the independent state of Franklin in 1784.,From Territory to Statehood (1784-1796),From Territory to Statehood (1784-1796)
revised,TN.10,TN.11,yes,0.77,"Analyze the effects of land speculation on settlement in the Territory South of the River Ohio (i.e., the Southwest Territory).","Analyze the effects of land speculation on settlement in the Southwest Territory (i.e., the Territory South of the River Ohio).",From Territory to Statehood (1784-1796),From Territory to Statehood (1784-1796)
revised,TN.11,TN.12,yes,0.91,Analyze the conflicts between early Tennessee settlers and American Indians.,Describe the conflicts between early Tennessee settlers and American Indians.,From Territory to Statehood (1784-1796),From Territory to Statehood (1784-1796)
revised,TN.12,TN.13,yes,0.78,Describe the events and trace the process of Tennessee achieving statehood in 1796.,Describe the events leading to Tennessee's achievement of statehood in 1796.,From Territory to Statehood (1784-1796),From Territory to Statehood (1784-1796)
unchanged,TN.13,TN.14,yes,1.00,Describe major features of the Tennessee Constitution of 1796. (T.C.A. §49-6-1028),Describe major features of the Tennessee Constitution of 1796. (T.C.A. §49-6-1028),From Territory to Statehood (1784-1796),From Territory to Statehood (1784-1796)
unchanged,TN.14,TN.15,yes,1.00,"Analyze the growth of Middle Tennessee in the early 1800s in power and influence, including the relocation of the capital.","Analyze the growth of Middle Tennessee in the early 1800s in power and influence, including the relocation of the capital.",Tennessee’s Coming of Age (1796-1812),Tennessee’s Coming of Age (1796-1812)
new,,TN.16,,,,"Describe the trafficking of enslaved persons between the three grand divisions of Tennessee, the lives of free blacks and enslaved persons, and the role of Tennesseeans in the early abolition movement (e.g., Elihu Embree).",Tennessee’s Coming of Age (1796-1812),Tennessee’s Coming of Age (1796-1812)
revised,TN.16,TN.17,yes,0.90,"Describe aspects of farm life, work, religion, and community for families in early Tennessee.","Describe aspects of farm life, work, religion, and community for families in the early 19th Century.",Tennessee’s Coming of Age (1796-1812),Tennessee’s Coming of Age (1796-1812)
unchanged,TN.17,TN.18,yes,1.00,Describe the economy of Tennessee in the early 19th century.,Describe the economy of Tennessee in the early 19th century.,Tennessee’s Coming of Age (1796-1812),Tennessee’s Coming of Age (1796-1812)
unchanged,TN.18,TN.19,yes,1.00,Describe the New Madrid Earthquakes of 1811-12 and the resulting effects on the land and culture of Tennessee.,Describe the New Madrid Earthquakes of 1811-12 and the resulting effects on the land and culture of Tennessee.,Tennessee’s Coming of Age (1796-1812),Tennessee’s Coming of Age (1796-1812)
new,,TN.20,,,,"Analyze the War of 1812’s impact on Tennessee, including: • American Indian peoples • Andrew Jackson • Felix Grundy • Tennessee Volunteers",Tennessee’s Coming of Age (1796-1812),Tennessee’s Coming of Age (1796-1812)
unchanged,TN.20,TN.21,yes,1.00,"Describe the significance of the Mississippi River, the Jackson Purchase, and the introduction of cotton in the rapid growth of Memphis and West Tennessee.","Describe the significance of the Mississippi River, the Jackson Purchase, and the introduction of cotton in the rapid growth of Memphis and West Tennessee.",Tennessee’s Coming of Age (1796-1812),Tennessee’s Coming of Age (1796-1812)
unchanged,TN.21,TN.22,yes,0.98,"Explain the importance of transportation, technology, and geography in Tennessee’s growing involvement in the national economy after the War of 1812, including the significance of: Cash crops (e.g., cotton, tobacco); Natchez Trace; Road improvements; Steamboats","Explain the importance of transportation, technology, and geography in Tennessee’s growing involvement in the national economy after the War of 1812, including the significance of: • Cash crops (e.g., cotton, tobacco) • Natchez Trace • Road improvements • Steamboats • Telegraph",Tennessee’s Golden Age (1800-1860),Tennessee’s Golden Age (1800-1860)
revised,TN.22,TN.23,yes,0.83,Describe the contributions of Presidents Andrew Jackson and James K. Polk to Tennessee and American history.,Describe the influences of Presidents Andrew Jackson and James K. Polk on American history.,Tennessee’s Golden Age (1800-1860),Tennessee’s Golden Age (1800-1860)
revised,TN.23,TN.24,yes,0.92,Describe the impact of the Indian Removal Act and the Trail of Tears on Tennessee.,Analyze the impact of the Indian Removal Act and the Trail of Tears on Tennessee.,Tennessee’s Golden Age (1800-1860),Tennessee’s Golden Age (1800-1860)
revised,TN.24,TN.25,yes,0.66,"Discuss the contributions of important figures during Tennessee’s “golden age,” including: John Bell; David Crockett; James C. Jones; Newton Cannon; Ephraim Foster; Sequoyah; William Carroll; Sam Houston; Hugh Lawson White","Discuss the contributions of important figures during Tennessee’s “golden age,” including: • John Bell • Newton Cannon • William Carroll • David Crockett • Elihu Embree • Ephraim Foster • Sam Houston • Sequoyah • Hugh Lawson White",Tennessee’s Golden Age (1800-1860),Tennessee’s Golden Age (1800-1860)
unchanged,TN.25,TN.26,yes,1.00,Identify the significance of the Tennessee Constitution of 1834. (T.C.A. §49-6-1028),Identify the significance of the Tennessee Constitution of 1834. (T.C.A. §49-6-1028),Tennessee’s Golden Age (1800-1860),Tennessee’s Golden Age (1800-1860)
unchanged,TN.26,TN.27,yes,0.97,"Describe the development of slavery in Tennessee from 1800 to 1860, including the distribution of slaves and conflicting attitudes among the three grand divisions.","Describe the development of slavery in Tennessee from 1800 to 1860, including the distribution of enslaved persons and conflicting attitudes among the three grand divisions.",Tennessee’s Golden Age (1800-1860),Tennessee’s Golden Age (1800-1860)
revised,TN.27,TN.28,yes,0.91,Discuss the importance of the Nashoba Community and Free Hill as settlements for freed slaves.,Discuss the importance of the Nashoba Community and Free Hill as settlements for formerly enslaved people.,Tennessee’s Golden Age (1800-1860),Tennessee’s Golden Age (1800-1860)
unchanged,TN.28,TN.29,yes,1.00,Explain the causes of the Civil War and how geographic and political divisions impacted Tennessee’s secession.,Explain the causes of the Civil War and how geographic and political divisions impacted Tennessee’s secession.,Tennessee: A Time of Troubles (1860-1865),Tennessee: A Time of Troubles (1860-1865)
